,class,root,symbol,short_symbol,exchange,price_tick,multiplier,trading_hours,max_limit_order_volume,min_limit_order_volume
DCE.cs,FUTURE,cs,DCE.cs2109,cs2109,DCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
DCE.c,FUTURE,c,DCE.c2109,c2109,DCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",2000,0
DCE.jd,FUTURE,jd,DCE.jd2108,jd2108,DCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",300,0
DCE.l,FUTURE,l,DCE.l2109,l2109,DCE,5,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
DCE.pp,FUTURE,pp,DCE.pp2109,pp2109,DCE,1,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
DCE.v,FUTURE,v,DCE.v2109,v2109,DCE,5,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.CF,FUTURE,CF,CZCE.CF109,CF109,CZCE,5,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.FG,FUTURE,FG,CZCE.FG109,FG109,CZCE,1,20,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.MA,FUTURE,MA,CZCE.MA109,MA109,CZCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.OI,FUTURE,OI,CZCE.OI109,OI109,CZCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.RM,FUTURE,RM,CZCE.RM109,RM109,CZCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.SR,FUTURE,SR,CZCE.SR109,SR109,CZCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.TA,FUTURE,TA,CZCE.TA109,TA109,CZCE,2,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.ZC,FUTURE,ZC,CZCE.ZC109,ZC109,CZCE,0.2,100,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.TC,FUTURE,ZC,CZCE.TC603,TC603,CZCE,0.2,100,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:30:00']]}",1000,0
SHFE.cu,FUTURE,cu,SHFE.cu2109,cu2109,SHFE,10,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '25:00:00']]}",500,0
SHFE.hc,FUTURE,hc,SHFE.hc2109,hc2109,SHFE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",500,0
SHFE.ni,FUTURE,ni,SHFE.ni2109,ni2109,SHFE,10,1,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '25:00:00']]}",500,0
SHFE.pb,FUTURE,pb,SHFE.pb2109,pb2109,SHFE,5,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '25:00:00']]}",500,0
SHFE.rb,FUTURE,rb,SHFE.rb2109,rb2109,SHFE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",500,0
SHFE.ru,FUTURE,ru,SHFE.ru2109,ru2109,SHFE,5,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",500,0
SHFE.sn,FUTURE,sn,SHFE.sn2109,sn2109,SHFE,10,1,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '25:00:00']]}",500,0
SHFE.zn,FUTURE,zn,SHFE.zn2109,zn2109,SHFE,5,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '25:00:00']]}",500,0
SHFE.al,FUTURE,al,SHFE.al2109,al2109,SHFE,5,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '25:00:00']]}",500,0
SHFE.ag,FUTURE,ag,SHFE.ag2109,ag2109,SHFE,1,15,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '26:30:00']]}",500,0
SHFE.au,FUTURE,au,SHFE.au2110,au2110,SHFE,0.02,1000,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '26:30:00']]}",500,0
SHFE.bu,FUTURE,bu,SHFE.bu2209,bu2209,SHFE,2,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",500,0
DCE.jm,FUTURE,jm,DCE.jm2109,jm2109,DCE,0.5,60,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
DCE.a,FUTURE,a,DCE.a2109,a2109,DCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
DCE.y,FUTURE,y,DCE.y2109,y2109,DCE,2,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
DCE.p,FUTURE,p,DCE.p2109,p2109,DCE,2,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
DCE.m,FUTURE,m,DCE.m2109,m2109,DCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
DCE.i,FUTURE,i,DCE.i2109,i2109,DCE,0.5,100,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
DCE.j,FUTURE,j,DCE.j2109,j2109,DCE,0.5,100,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",500,0
CZCE.WH,FUTURE,WH,CZCE.WH109,WH109,CZCE,1,20,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
CZCE.SF,FUTURE,SF,CZCE.SF109,SF109,CZCE,2,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
DCE.fb,FUTURE,fb,DCE.fb2109,fb2109,DCE,0.5,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
CZCE.SM,FUTURE,SM,CZCE.SM109,SM109,CZCE,2,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
CFFEX.T,FUTURE,T,CFFEX.T2106,T2106,CFFEX,0.005,10000,"{'day': [['09:30:00', '11:30:00'], ['13:00:00', '15:15:00']], 'night': []}",50,0
CFFEX.TF,FUTURE,TF,CFFEX.TF2106,TF2106,CFFEX,0.005,10000,"{'day': [['09:30:00', '11:30:00'], ['13:00:00', '15:15:00']], 'night': []}",50,0
CFFEX.IC,FUTURE,IC,CFFEX.IC2011,IC2011,CFFEX,0.2,200,"{'day': [['09:30:00', '11:30:00'], ['13:00:00', '15:00:00']], 'night': []}",20,0
CFFEX.IF,FUTURE,IF,CFFEX.IF2011,IF2011,CFFEX,0.2,300,"{'day': [['09:30:00', '11:30:00'], ['13:00:00', '15:00:00']], 'night': []}",20,0
CFFEX.IH,FUTURE,IH,CFFEX.IH2011,IH2011,CFFEX,0.2,300,"{'day': [['09:30:00', '11:30:00'], ['13:00:00', '15:00:00']], 'night': []}",20,0
SHFE.fu,FUTURE,fu,SHFE.fu2110,fu2110,SHFE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",500,0
CZCE.RS,FUTURE,RS,CZCE.RS109,RS109,CZCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
CZCE.LR,FUTURE,LR,CZCE.LR109,LR109,CZCE,1,20,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
CZCE.PM,FUTURE,PM,CZCE.PM109,PM109,CZCE,1,50,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
DCE.bb,FUTURE,bb,DCE.bb2109,bb2109,DCE,0.05,500,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
DCE.b,FUTURE,b,DCE.b2109,b2109,DCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.RI,FUTURE,RI,CZCE.RI109,RI109,CZCE,1,20,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
SHFE.wr,FUTURE,wr,SHFE.wr2109,wr2109,SHFE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",500,0
CZCE.JR,FUTURE,JR,CZCE.JR109,JR109,CZCE,1,20,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
CZCE.CY,FUTURE,CY,CZCE.CY109,CY109,CZCE,5,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.AP,FUTURE,AP,CZCE.AP105,AP105,CZCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
INE.sc,FUTURE,sc,INE.sc2110,sc2110,INE,0.1,1000,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '26:30:00']]}",500,0
CFFEX.TS,FUTURE,TS,CFFEX.TS2106,TS2106,CFFEX,0.005,20000,"{'day': [['09:30:00', '11:30:00'], ['13:00:00', '15:15:00']], 'night': []}",50,0
SHFE.sp,FUTURE,sp,SHFE.sp2109,sp2109,SHFE,2,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",500,0
DCE.eg,FUTURE,eg,DCE.eg2108,eg2108,DCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.CJ,FUTURE,CJ,CZCE.CJ109,CJ109,CZCE,5,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
CZCE.UR,FUTURE,UR,CZCE.UR109,UR109,CZCE,1,20,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': []}",1000,0
INE.nr,FUTURE,nr,INE.nr2109,nr2109,INE,5,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",500,0
DCE.rr,FUTURE,rr,DCE.rr2109,rr2109,DCE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
SHFE.ss,FUTURE,ss,SHFE.ss2109,ss2109,SHFE,5,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '25:00:00']]}",500,0
DCE.eb,FUTURE,eb,DCE.eb2108,eb2108,DCE,1,5,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
CZCE.SA,FUTURE,SA,CZCE.SA109,SA109,CZCE,1,20,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
DCE.pg,FUTURE,pg,DCE.pg2108,pg2108,DCE,1,20,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",1000,0
INE.lu,FUTURE,lu,INE.lu2110,lu2110,INE,1,10,"{'day': [['09:00:00', '10:15:00'], ['10:30:00', '11:30:00'], ['13:30:00', '15:00:00']], 'night': [['21:00:00', '23:00:00']]}",500,0
